method,path,module,controller,auth,csrf,caller,downstream,audience,scope,request_model,response_model,tenant_company_binding,campaign_binding,idempotency,rate_limit_expectation,middleware_only,browser_allowed,provider_callback,status
GET,/api/v1/integration/capabilities,call_center_campaign,CodestraIntegrationApiController.capabilities,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/capabilities,call_center_campaign,CodestraIntegrationApiController.capabilities,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/claims,call_center_campaign,CodestraIntegrationApiController.claim_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/outbox/<string:outbox_id>,call_center_campaign,CodestraIntegrationApiController.read_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/renewals,call_center_campaign,CodestraIntegrationApiController.renew_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/lease/renew,call_center_campaign,CodestraIntegrationApiController.renew_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/acknowledgements,call_center_campaign,CodestraIntegrationApiController.acknowledge_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/failures,call_center_campaign,CodestraIntegrationApiController.fail_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/releases,call_center_campaign,CodestraIntegrationApiController.release_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/release,call_center_campaign,CodestraIntegrationApiController.release_outbox,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/results,call_center_campaign,CodestraIntegrationApiController.create_result,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/provider-activities,call_center_campaign,CodestraIntegrationApiController.create_provider_activity,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/automation-results,call_center_campaign,CodestraIntegrationApiController.apply_automation_results,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;POST;PUT;PATCH;DELETE,/api/v1/integration/campaign-actions,call_center_campaign,CodestraIntegrationApiController.retired_route,none,NO,NONE_RETIRED,NONE,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,RETIRED
GET,/api/v1/integration/results/by-delivery/<string:delivery_public_id>,call_center_campaign,CodestraIntegrationApiController.read_result,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/results/<string:result_public_id>,call_center_campaign,CodestraIntegrationApiController.read_result,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/results,call_center_campaign,CodestraIntegrationApiController.read_result,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/results/<string:result_public_id>/reconcile,call_center_campaign,CodestraIntegrationApiController.reconcile_result,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
